,brand,model,screen_size(Inches),cpu,ram(GB),operating_system,rating,price($)
599,ASUS,VivoBook 15.6,15.6,Core i5,8,Windows 10 Home,3.8,460.0
603,Toughbook,CF-20 mk1,10.1,Core M Family,8,Windows 10 Pro,5.0,999.99
607,Lenovo,ThinkPad Z16 Gen 1,16.0,Ryzen 7,16,Windows 11 Pro,3.1,1449.99
608,Dell,5310,14.0,Intel Core i7,16,Windows 10 Pro,5.0,425.0
615,LG,LG gram,17.0,Core i7,16,Windows 10,4.2,1782.96
616,Lenovo,Flex 3,11.6,MediaTek MT8183,4,Chrome OS,4.6,195.99
617,Lenovo,Lenovo thinkpad,14.0,Core i7,16,Windows 10 Pro,4.7,1356.0
621,ASUS,ASUS Rog Strix,17.3,8032,16,Windows 10 Home,4.3,1799.0
622,Lenovo,ThinkPad X13 Yoga Gen 2,12.3,Core i5,16,Windows 11 Pro,4.0,869.99
625,Lenovo,Chromebook,11.6,Celeron,4,Chrome OS,3.9,203.77
630,acer,Acer Chromebook,11.6,MediaTek MT8183,32,Chrome OS,4.1,204.95
631,Dell,Latitude 5000,13.3,Core i7,16,Windows 10 Pro,3.9,1163.21
633,Lenovo,Chromebook S330,14.0,MediaTek_MT8127,4,Chrome OS,4.0,177.0
635,HP,HP Chromebook 11,11.6,Celeron,4,Chrome OS,4.3,75.0
638,acer,CB314-3HT-P6QW,14.0,Pentium,8,Chrome OS,3.5,432.7
642,HP,HP Notebook,15.6,Celeron,8,Windows 11,3.9,316.99
643,SAMSUNG,Galaxy Book Odyssey,15.6,Core i7,16,Windows 11 Home,4.1,1320.86
645,Dell,Latitude,14.1,Core 2 Duo P8700,2,Windows 7,3.6,84.54
649,acer,PT14-51-78B4,14.0,Intel Core i7,16,Windows 11 Home,2.5,1049.99
653,acer,AV14-51-58XZ,14.0,Core i5,16,Windows 11 Home,4.8,532.49
656,Dell,i3493-3464BLK-PUS,14.0,Core i3-1005G1,4,Windows 10,4.3,399.0
658,Dell,Dell Inspiron,15.6,Core i5,8,Windows 10,3.5,356.99
662,Dell,Latitude 5000,14.0,Core i5,16,Windows 10 Pro,5.0,2312.24
667,Toughbook,CF-20,10.1,core_m,8,Windows 10 Pro,4.5,959.0
668,Dell,Latitude 5000,14.0,Core i5,16,Windows 10 Pro,5.0,876.02
679,acer,A515-44-R41B,15.6,Ryzen 5 4500U,8,Windows 10 Home,4.5,528.18
680,Dell,XPS 9350,13.3,Core i7,8,Windows 10,3.8,699.99
685,ASUS,Asus ZenBook 13,13.3,Intel Core i5,8,Windows 10 Home,4.4,1099.0
686,ASUS,Vivobook 14X,14.0,Core i5,8,Windows 11 Home,5.0,819.99
693,LG,16Z90Q-K.AAS6U1,16.0,Core i5,16,Windows 11 Home,4.1,900.9
694,HP,Chromebook,14.0,Celeron,4,Chrome OS,4.4,297.0
698,Lenovo,ThinkPad X1 Carbon Gen 10,14.0,Core i7,16,Windows 11,2.0,1637.24
699,acer,CB5-132T-C67Q,11.6,8032,4,Chrome OS,4.4,269.0
704,Panasonic,CF-54,14.0,Core i5,8,Windows 10,3.8,700.0
705,ASUS,ASUS Chromebook CX1,11.6,Celeron,4,Chrome OS,1.0,198.0
706,ASUS,ASUS VivoBook,17.3,Intel Core i5,12,Windows 11,4.0,519.0
713,Lenovo,Lenovo Thinkpad,14.0,Core i7-8650U,16,Windows 10 Pro,4.3,1599.0
718,Lenovo,IdeaPad 3 15ITL6,15.6,Pentium,4,Windows 10 Home,5.0,349.99
720,Microsoft,LQS-00038,13.5,Core i5 8400T,8,Windows 10 Home,4.4,449.0
725,ASUS,VivoBook Pro 16X,16.0,Core i7,32,Windows 11 Home,3.3,1445.82
726,LG,16Z90P-K.AAB9U1,16.0,Core i7 Family,16,Windows 11,4.5,1546.84
727,Panasonic,CF-31 MK5,13.1,Core i5 5300U,8,Windows 10,5.0,552.99
732,Lenovo,ThinkPad E570,15.6,Core i5,8,Windows 10 Professional 64-bit,3.5,369.95
733,Dell,Latitude,15.6,Core i7 Family,64,Windows 11 Pro,5.0,1125.0
734,Dell,Latitude 7320 Detachable 2-in-1,13.0,Core i5,8,Windows 11 Pro,1.0,749.99
740,Lenovo,20VK0019US,13.3,Core i7,16,Windows 10 Pro,3.7,849.0
742,Panasonic,Panasonic Toughbook,13.1,Core i5,16,Windows 10,4.2,599.99
750,Dell,Latitude Rugged 5430 Laptop,14.0,Core i5,16,Windows 11 Pro,5.0,1499.99
754,ASUS,ASUS VivoBook 17X,17.3,Ryzen 7 5800H,8,Windows 11 Home,3.8,743.66
758,acer,A515-57G-58R7,15.6,Intel Core i5,8,Windows 11 Home,4.2,879.99
761,Dell,Precision 5560,15.6,Intel Core i9,16,Windows 10 Pro,4.2,2499.99
772,Panasonic,Panasonic Toughbook,15.4,Core i5,16,Windows 10 Pro,5.0,606.89
773,ASUS,Vi F5,15.6,Intel Core i3,8,Windows 11,4.2,370.23
774,Apple,MacBook Pro,16.0,Core i9 7960X,16,Mac OS,4.7,1419.0
780,Lenovo,IdeaPad Slim 7 Pro 14IHU5,14.0,Core i5 Family,16,Windows 11 Home,4.3,711.99
782,Panasonic,CF-52 MK5,15.4,Core i5,8,Windows 10,3.9,450.0
789,Lenovo,Lenovo,15.6,Intel Core i5,12,Windows 10,4.4,899.99
791,Lenovo,130-15AST,15.6,AMD A Series,4,Windows 10 Home,4.2,399.99
795,Dell,Latitude,15.6,Core i5,32,Windows 10 Pro,5.0,1481.86
796,Dell,Inspiron,14.0,Core i7 Family,64,Windows 11 Home,5.0,993.23
797,Dell,5300,13.3,Core i7 Family,16,Windows 10 Pro,4.2,1499.0
801,Lenovo,ThinkPad P16 G1,16.0,Core i7 Family,32,Windows 11 Pro,2.5,2119.0
805,Dell,Alienware m15 R5 Ryzen Edition Laptop,15.6,AMD Ryzen 7,32,Windows 10 Home,4.2,1986.99
806,MSI,MSI Katana 15,15.6,Core i7,16,Windows 11 Home,4.4,1349.49
809,HP,HP Envy,14.0,Core i3,8,Windows 10,4.6,587.99
812,Dell,Dell Latitude,14.0,Core i3,2,Windows 7 Home Premium,3.0,99.99
813,HP,14-fq0013dx,14.0,AMD A Series,4,Windows 10 S,4.3,207.99
815,HP,HP Laptop 15-dy2031nr,15.6,Core i3,8,Windows 11,5.0,479.99
816,acer,CP311-2H-C3KA,11.6,Celeron N,4,Chrome OS,4.5,316.39
817,HP,056-01-4094,11.6,MediaTek MT8183,4,Chrome OS,4.2,168.0
821,Lenovo,ThinkBook 14s Yoga G2 IAP,14.0,Core i7,16,Windows 11,5.0,1209.0
830,Microsoft,Surface Laptop,15.0,Ryzen 7,16,Windows 10 Home,4.1,1299.0
831,Dell,M,15.6,AMD R Series,32,Windows 11,3.5,1962.99
832,HP,HP ProBook,14.0,Core i5,4,Windows 7 Professional,5.0,124.0
837,Dell,XPS 17 9700,17.0,Core i9,32,Windows 10 Home,4.1,4999.0
838,MSI,Modern 14 C13M-621US,14.0,Core i7,16,Windows 11 Home,5.0,839.99
839,Lenovo,ThinkPad P16 Gen 1,16.0,Core i7 Family,16,Windows 11 Pro,4.5,1499.0
840,acer,C732-C6WU,11.6,Celeron N3350,4,Chrome OS,4.4,334.99
847,Dell,XPS 17 9720,17.0,Intel Core i9,64,Windows 11 Pro,5.0,3399.99
852,Lenovo,Chromebook,11.6,A-Series,4,Chrome OS,4.2,253.46
858,Lenovo,Lenovo Flex 5 2 in 1,14.0,Ryzen 3 4300U,4,Windows 10,4.2,468.0
859,ASUS,ROG Strix Scar GL703GE,17.3,Core i7,16,Windows 10 Home,4.3,1699.0
862,Lenovo,ThinkPad P15s Gen 2,15.6,Core i7 Family,32,Windows 10 Pro,1.0,1349.99
863,IVIEW,IVIEW MEGATRON 4G,14.1,Intel Celeron D,4,Windows 10 Pro,3.1,239.99
868,HP,ZBOOK 17 G3,17.3,Core i7,16,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,1.0,474.98
869,Lenovo,300e-convertible,11.6,Celeron N3450,4,Windows 10 Home,4.0,269.99
870,acer,Acer Swift,14.0,Intel Core i7-1165G7,8,Windows 10,2.9,599.99
876,MSI,CreatorPro X17 A12UKS-059,17.3,Core i9,32,Windows 11,5.0,4499.0
877,Lenovo,Lenovo Ideapad,15.6,Core i3,4,Windows 11 Home in S Mode,3.7,360.0
880,Dell,Latitude 7320 Detachable 2-in-1,13.0,Core i5,8,Windows 11 Pro,3.0,749.99
881,ASUS,E410MA-TB.CL464,14.0,Celeron,4,Windows 11 S,4.6,229.99
887,HP,HP Stream,11.6,Others,4,Windows 10,4.8,176.24
888,Lenovo,Lenovo Ideapad,15.6,Core i3-10110U,8,Windows 10,4.5,400.0
894,Dell,Dell Inspiron 15 3525 Laptop,15.6,Ryzen 7,64,Windows 11 Home,4.1,971.04
896,MSI,GL66 12UGKV,15.6,Core I7 11800H,64,Windows 11 Pro,4.8,1808.99
899,hp,HP Stream,11.6,Celeron N4000,4,Windows 10 S,4.2,194.97
903,Dell,Alienware m17 Ryzen Edition R5 Laptop,17.3,AMD Ryzen 7,16,Windows 11 Home,5.0,1881.99
904,ASUS,TAICHI21,11.6,Core i5-3317U,4,Windows 8,3.5,462.0
905,XPG,Xenia 15G,15.6,Core i7,32,Windows 11 Home,5.0,1699.99
906,HP,HP Pavilion i7-1065G7 FHD Touch,15.6,Core i7,12,Windows 10,3.4,959.99
910,Dell,KX9W6,13.3,Intel Core i7,16,Windows 10 Pro,5.0,1273.99
928,Gigabyte,AORUS 17 XE4-73US514SH,17.0,Intel Mobile CPU,16,Windows 11 Home,4.0,1119.99
930,Apple,MacBook Pro,13.0,Apple M1,16,macOS 12 Monterey,1.0,1657.99
932,Dell,Latitude 3000,14.0,Intel Core i5-1135G7,8,Windows 10 Pro,1.7,836.16
934,Dell,Latitude 7410 Laptop,14.0,Core i7,16,Windows 11 Pro,5.0,749.99
939,Lenovo,Yoga C940-14IIL,14.0,Core i7-1065G7,8,Windows 10,4.0,899.0
940,ASUS,ASUS Rog Strix,15.6,Corei7-10750H,8,Windows 10,5.0,979.0
941,acer,Chromebook 315 CB315-4H,15.6,Celeron,4,Chrome OS,4.5,312.99
945,HP,17-by4013dx,15.6,Athlon Silver 3050U,8,Windows 11 Home,4.5,378.0
946,Lenovo,Chromebook Flex 5,13.3,Core i3-10110U,4,Chrome OS,5.0,399.0
947,Dell,Latitude 5320 2-in-1,13.3,Core i7,16,Windows 10 Pro,3.4,1273.99
948,Dell,Latitude 5430 Laptop,14.0,Core i7,32,Windows 11 Pro,5.0,1227.99
949,ASUS,ASUS Chromebook C423,14.0,Celeron,4,Chrome OS,4.2,199.0
954,Lenovo,T450,14.0,Core i5 5300U,16,Windows 10 Home,5.0,139.98
955,Dell,xps 15 7590,15.6,Core i7,16,Windows 10 Pro,3.5,979.0
959,Lenovo,ThinkPad T15g Gen 2,15.6,Core i9,32,Windows 10 Pro,4.5,4119.0
971,Panasonic,Panasonic Toughbook,13.1,Core i5,4,Windows 7,2.7,299.95
972,acer,Chromebook,15.6,Celeron 3205U,4,Chrome OS,3.6,93.99
973,Dell,i3500-7722BLK-PUS,15.6,Corei7-10750H,16,Windows 10 Home,4.3,1699.0
976,Dell,Dell Inspiron 16 5625,16.0,AMD Ryzen 7,16,Windows 11 Home,5.0,854.86
978,Microsoft,Laptop 4 13 i5/8GB/512GB ICE BLUE,13.5,Intel Core i5,8,Windows 10 Home,4.4,865.0
986,ASUS,ASUS VivoBook,14.0,Core i3,4,Windows 10 Home,4.4,446.98
992,HP,HP Chromebook 11,11.6,Celeron N,4,Chrome OS,4.0,69.82
993,Dell,Dell XPS,13.3,Core i5,8,Windows 10,3.6,1099.95
999,Lenovo,Thinkpad,11.6,Celeron,4,Windows 10 Pro,3.7,286.0
1002,Microsoft,Surface Laptop,15.0,Ryzen 5 2600X,8,Windows 10 Home,4.2,799.0
1007,Dell,Inspiron 7620 Laptop,16.0,Core i7,40,Windows 11 Home,5.0,1498.0
1008,IVIEW,IVIEW-1430NB,14.1,Celeron N3350,4,Windows 10,4.3,189.95
1015,Dell,Precision 5000,15.6,Core i7 Family,32,Windows 10 Pro,4.0,1699.95
1018,Dell,Alienware X17 R2 Laptop,17.3,Core i9,64,Windows 11 Home,5.0,3208.03
1020,ASUS,ASUS VivoBook,11.6,Celeron N,2,Windows 10,4.2,199.99
1025,Lenovo,Lenovo IdeaPad,15.6,Pentium Other,20,Windows 11,4.2,419.0
1026,acer,Swift Go 14,14.0,Intel Core i5,8,Windows 11 Home,4.3,799.99
1031,Dell,Latitude 5420,14.0,Core i5,8,Windows 10 Pro,3.7,656.25
1032,acer,Chromebook 311,11.6,MediaTek MT8183,4,Chrome OS,4.4,219.0
1033,Gigabyte,U4 UD-50US823SO,14.0,Intel Mobile CPU,16,Windows 11 Home,3.3,700.43
1039,ASUS,Vivobook,11.6,Celeron N,4,Windows 10 S,4.0,169.0
1040,Dell,Latitude,15.6,Core i7 Family,32,Windows 11 Pro,4.3,949.0
1054,SAMSUNG,Chromebook 4,11.6,Celeron N3450,4,Chrome OS,4.9,249.49
1056,Lenovo,Chromebook Flex 3,11.6,Celeron N4020,4,Chrome OS,4.3,229.0
1070,LG,LG gram,15.6,Core i5 2.3 GHz,8,Windows 10 Home,4.0,999.99
1071,Dell,XPS,17.0,Core I7 11800H,16,Windows 10,3.8,2179.05
1076,Dell,Latitude,15.6,Core i5,16,Windows 10 Pro,5.0,1436.81
1077,Dell,7000,13.3,AMD Ryzen 7,12,Windows 10,3.9,795.0
1078,HP,HP 14 laptop,14.0,Core i3,4,Windows 10 Home,3.7,328.58
1079,Dell,Latitude 5420,15.6,Core i5,8,Windows 10 Pro,4.2,1443.6
1083,acer,C771-C4TM,11.6,Celeron,1,Chrome OS,4.2,295.4
1084,Dell,Dell Latitude,13.3,Core i5,8,Windows 10 Pro,5.0,729.0
1088,Dell,Latitude 7420,14.0,Core i5,16,Windows 10 Pro,5.0,544.0
1099,Lenovo,Lenovo ThinkPad T14 Gen 3 AMD,14.0,AMD Ryzen 7,16,Windows 11 Pro,5.0,1131.06
1100,HP,ELITEBOOK 820G3,12.5,Core i5,16,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,4.0,307.98
1101,MSI,Modern 14 B11MO-857,14.0,Core i5,8,Win 10 Multi-language /Free upgrade to Win 11,2.0,699.0
1102,Dell,E6540,15.6,Core i7,8,Windows 7 Professional,3.7,529.95
1113,ASUS,VivoBook,15.6,Core i3 Family,12,Windows 11 Home,3.8,479.0
1114,Dell,DELL XPS 15 9520,15.6,Core i7,32,Windows 11 Pro,1.0,1681.29
1118,Toughbook,CF-54 MK1,14.0,Intel Core i5,8,Windows 10 Pro,3.3,749.89
1119,Lenovo,Yoga,14.0,Intel Core i5-1135G7,12,Windows 10 Home,3.8,1049.0
1124,Dell,Dell Latitude 14 5000 E5470,14.0,Core i7,16,Windows 10 Pro,5.0,339.0
1125,Dell,Dell Latitude,15.6,Core i3,4,Windows 7,4.3,249.95
1130,Dell,Inspiron,14.0,Core i7,64,Windows 11 Home,5.0,993.23
1131,HP,EliteBook Folio,14.0,Core i5-4210U,4,Windows 10 64 Bit-Multi-Language Supports English/Spanish/French,5.0,252.98
1133,Lenovo,ThinkPad X1 Nano Gen1,13.0,Core i7 Family,16,Windows 11 Pro,5.0,1504.08
1137,Dell,Dell Latitude,14.0,8032,8,Windows 10,4.7,540.0
1140,acer,PT516-52s-73YD,16.0,Core i7,16,Windows 11 Home,2.8,1849.0
1145,HP,B09HSNNCQL,15.6,Athlon,4,Windows 10 Home,5.0,288.0
1153,acer,CB3-111,11.6,Celeron,16,Chrome OS,4.4,159.95
1155,Dell,Latitude 5420,14.0,Core i5 Family,64,Windows 11 Pro,4.7,1419.92
1156,MSI,Raider GE76 12UHS-255,17.3,Core i7,32,Windows 11 Home,3.8,3599.0
1159,HP,HP Envy,13.3,Intel Core i7-1165G7,16,Windows 10 Pro,3.8,1499.0
1160,Dell,Precision 3000,15.6,Core i7,16,Windows 11,5.0,1734.21
1161,Dell,Latitude,15.6,Core i7 Family,16,Windows 11 Pro,5.0,873.93
1167,LG,17Z95P-K.AAB9U1,17.0,Core i7 Family,16,Windows 11,4.4,1515.03
1170,HP,HP Notebook,15.6,Celeron,16,Windows 10,4.1,425.99
1172,Dell,Dell Precision,13.4,Core i7 Family,16,Windows 10 Pro,4.7,1101.49
1178,Dell,Latitude 3000,11.6,Celeron,4,Windows 11,2.3,287.99
1180,Dell,Latitude 5000,14.0,Celeron,4,Chrome OS,4.5,361.65
1188,Dell,Dell Inspiron,11.6,AMD A Series,4,Windows 10,3.7,289.0
1189,LG,14T90P-K.AAG9U1,14.0,Core i7 Family,16,Windows 11 Home,4.5,1699.99
1190,Lenovo,Lenovo Legion 5,17.3,Ryzen 7 5800H,64,Windows 11 Home,3.8,2899.0
1192,Dell,Dell Latitude,13.3,Core i5,8,Windows 10 Pro,5.0,545.0
1196,acer,Chromebook Spin 511 R753T,11.6,Celeron,8,Chrome OS,2.9,485.99
1197,Dell,Dell Precision,17.3,Core i7 Family,16,Windows 10 Pro,5.0,1998.77
1198,Lenovo,Lenovo ThinkPad X1 Yoga I5,14.0,Core i5,8,Windows 10 Pro,5.0,844.65
1205,HP,HP14CA000NR,14.0,Celeron,4,Chrome OS,4.5,169.0
1206,Lenovo,20YGS02Q00,15.6,Core i7,8,Windows 10,5.0,799.0
1218,Dell,F2WJ0,14.0,Intel Core i5,16,Windows 10 Pro,5.0,1557.79
1219,Dell,Dell Latitude 7214 Rugged Laptop 2 In 1,11.6,Intel Core i5,8,Windows 10 Pro,3.9,899.95
1220,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1221,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1223,Dell,Dell Latitude,14.0,8032,8,Windows 10,4.7,540.0
1226,acer,PT516-52s-73YD,16.0,Core i7,16,Windows 11 Home,2.8,1849.0
1227,Lenovo,Yoga 710,15.6,Intel Core i5,8,Windows 10,4.2,699.99
1231,Dell,DELL-XPS-9720,17.0,Core i7 Family,64,Windows 10 Pro,5.0,3799.0
1234,Lenovo,ThinkPad P16s G1,16.0,Ryzen 7,32,Windows 11 Pro,1.0,2399.99
1238,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1239,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1240,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1241,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1245,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1246,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1248,acer,CB3-111,11.6,Celeron,16,Chrome OS,4.4,159.95
1250,Dell,Latitude 5420,14.0,Core i5 Family,64,Windows 11 Pro,4.7,1419.92
1251,MSI,Raider GE76 12UHS-255,17.3,Core i7,32,Windows 11 Home,3.8,3599.0
1252,Dell,Dell Inspiron 15 3520,15.6,Core i7,16,Windows 11 Home,4.0,809.0
1256,HP,HP Chromebook,14.0,Celeron N4020,4,Windows 10 S,4.3,228.0
1257,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1258,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1260,HP,HP Envy,13.3,Intel Core i7-1165G7,16,Windows 10 Pro,3.8,1499.0
1261,Dell,Precision 3000,15.6,Core i7,16,Windows 11,5.0,1734.21
1262,Dell,Latitude,15.6,Core i7 Family,16,Windows 11 Pro,5.0,873.93
1268,LG,17Z95P-K.AAB9U1,17.0,Core i7 Family,16,Windows 11,4.4,1515.03
1270,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1271,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1273,Dell,Dell Precision,13.4,Core i7 Family,16,Windows 10 Pro,4.7,1101.34
1276,Dell,Latitude 3000,11.6,Celeron,4,Windows 11,2.3,287.99
1278,Dell,Latitude 5000,14.0,Celeron,4,Chrome OS,4.5,361.65
1286,Dell,Dell Inspiron,11.6,AMD A Series,4,Windows 10,3.7,289.0
1287,LG,14T90P-K.AAG9U1,14.0,Core i7 Family,16,Windows 11 Home,4.5,1699.99
1288,Lenovo,Lenovo Legion 5,17.3,Ryzen 7 5800H,64,Windows 11 Home,3.8,2899.0
1293,MSI,Vector GP66 12UGS-267,15.66,Intel Core i9,32,Windows 11 Home,5.0,1599.0
1294,MSI,Stealth GS66 12UGS-025,15.6,Intel Core i9,32,Windows 11 Home,1.0,1699.0
1296,Dell,Dell Latitude,13.3,Core i5,8,Windows 10 Pro,5.0,545.0
1297,acer,Chromebook Spin 511 R753T,11.6,Celeron,8,Chrome OS,2.9,485.99
